,pdb,glycam name,glycan,phi site,psi site,phi,psi,B factor(Avg),BFMP ring shape
146,6idn.pdb,DXylpb1-2[DManpa1-3]DManpb1-4DGlcpNAcb1-4[LFucpa1-3]DGlcpNAcb1-ASN,MAN(5_D_)-[XYP(4_D_)]-BMA(3_D_)-NAG(2_D_)-[FUC(6_D_)]-NAG(1_D_)-ASN(194_A_),D FUC 6 C2 C1 NAG 1 O3 C3,D FUC 6 C1 NAG 1 O3 C3 C4,203.014,147.379,"(['FUC(6_D_)', 'NAG(1_D_)'], [28.04, 23.65])","(['6.D', '1.D'], ['1C4', '4C1'])"
147,1myr.pdb,DXylpb1-2[DManpa1-3][DManpa1-6]DManpb1-4DGlcpNAcb1-4[LFucpa1-3]DGlcpNAcb1-ASN,MAN(6_D_)-[MAN(5_D_)]-[XYP(4_D_)]-BMA(3_D_)-NAG(2_D_)-[FUC(7_D_)]-NAG(1_D_)-ASN(292_A_),D FUC 7 C2 C1 NAG 1 O3 C3,D FUC 7 C1 NAG 1 O3 C3 C4,165.616,149.808,"(['FUC(7_D_)', 'NAG(1_D_)'], [22.37, 17.36])","(['7.D', '1.D'], ['1C4', '4C1'])"
149,6hjd.pdb,LFucpa1-3[DGalpb1-4]DGlcpNAcb1-ROH,GAL(3_M_)-[FUC(2_M_)]-NAG(1_M_),M FUC 2 C2 C1 NAG 1 O3 C3,M FUC 2 C1 NAG 1 O3 C3 C4,166.313,139.405,"(['FUC(2_M_)', 'NAG(1_M_)'], [17.41, 25.92])","(['2.M', '1.M'], ['1C4', '4C1'])"
154,2v3f.pdb,LFucpa1-3[DGlcpNAcb1-4]DGlcpNAcb1-ASN,NAG(3_D_)-[FUC(2_D_)]-NAG(1_D_)-ASN(19_B_),D FUC 2 C2 C1 NAG 1 O3 C3,D FUC 2 C1 NAG 1 O3 C3 C4,163.629,135.391,"(['FUC(2_D_)', 'NAG(1_D_)'], [28.05, 21.35])","(['2.D', '1.D'], ['1C4', '4C1'])"
160,1ym0.pdb,DManpa1-3DManpb1-4DGlcpNAcb1-4[LFucpa1-6][LFucpa1-3]DGlcpNAcb1-ASN,FUC(6_C_)-[MAN(4_C_)-MAN(3_C_)-NAG(2_C_)]-[FUC(5_C_)]-NAG(1_C_)-ASN(161_A_),C FUC 5 C2 C1 NAG 1 O3 C3,C FUC 5 C1 NAG 1 O3 C3 C4,162.004,138.007,"(['FUC(5_C_)', 'NAG(1_C_)'], [25.19, 19.87])","(['5.C', '1.C'], ['1C4', '4C1'])"
177,3ugh.pdb,DManpa1-6DManpb1-4DGlcpNAcb1-4[LFucpa1-3]DGlcpNAcb1-ASN,MAN(4_H_)-BMA(3_H_)-NAG(2_H_)-[FUC(5_H_)]-NAG(1_H_)-ASN(178_B_),H FUC 5 C2 C1 NAG 1 O3 C3,H FUC 5 C1 NAG 1 O3 C3 C4,159.229,133.05,"(['FUC(5_H_)', 'NAG(1_H_)'], [28.64, 28.18])","(['5.H', '1.H'], ['1C4', '4C1'])"
186,6hwr.pdb,LFucpa1-3[DGlcpNAcb1-4]DGlcpNAcb1-ASN,NAG(3_F_)-[FUC(2_F_)]-NAG(1_F_)-ASN(396_B_),F FUC 2 C2 C1 NAG 1 O3 C3,F FUC 2 C1 NAG 1 O3 C3 C4,173.759,136.657,"(['FUC(2_F_)', 'NAG(1_F_)'], [28.0, 22.28])","(['2.F', '1.F'], ['1C4', '4C1'])"
224,3ap9.pdb,LFucpa1-3[DGalpb1-4]DGlcpNAcb1-3DGalpb1-4DGlcpb1-ROH,GAL(5_B_)-[FUC(4_B_)]-NAG(3_B_)-GAL(2_B_)-BGC(1_B_),B FUC 4 C2 C1 NAG 3 O3 C3,B FUC 4 C1 NAG 3 O3 C3 C4,182.696,144.242,"(['FUC(4_B_)', 'NAG(3_B_)'], [17.79, 10.05])","(['4.B', '3.B'], ['1C4', '4C1'])"
231,6q05.pdb,DNeup5Aca2-3DGalpb1-4[LFucpa1-3]DGlcpNAcb1-ROH,SIA(3_N_)-GAL(2_N_)-[FUC(4_N_)]-NAG(1_N_),N FUC 4 C2 C1 NAG 1 O3 C3,N FUC 4 C1 NAG 1 O3 C3 C4,181.322,148.827,"(['FUC(4_N_)', 'NAG(1_N_)'], [22.86, 22.12])","(['4.N', '1.N'], ['1C4', '4C1'])"
232,6q05.pdb,DNeup5Aca2-3DGalpb1-4[LFucpa1-3]DGlcpNAcb1-ROH,SIA(3_j_)-GAL(2_j_)-[FUC(4_j_)]-NAG(1_j_),j FUC 4 C2 C1 NAG 1 O3 C3,j FUC 4 C1 NAG 1 O3 C3 C4,181.321,148.879,"(['FUC(4_j_)', 'NAG(1_j_)'], [22.86, 22.12])","(['4.j', '1.j'], ['1C4', '4C1'])"
233,6q05.pdb,DNeup5Aca2-3DGalpb1-4[LFucpa1-3]DGlcpNAcb1-ROH,SIA(3_Y_)-GAL(2_Y_)-[FUC(4_Y_)]-NAG(1_Y_),Y FUC 4 C2 C1 NAG 1 O3 C3,Y FUC 4 C1 NAG 1 O3 C3 C4,181.337,148.824,"(['FUC(4_Y_)', 'NAG(1_Y_)'], [22.86, 22.12])","(['4.Y', '1.Y'], ['1C4', '4C1'])"
245,1w9d.pdb,DXylpb1-2[DManpa1-3][DManpa1-6]DManpb1-4DGlcpNAcb1-4[LFucpa1-3]DGlcpNAcb1-ASN,MAN(6_C_)-[MAN(5_C_)]-[XYP(4_C_)]-BMA(3_C_)-NAG(2_C_)-[FUC(7_C_)]-NAG(1_C_)-ASN(292_M_),C FUC 7 C2 C1 NAG 1 O3 C3,C FUC 7 C1 NAG 1 O3 C3 C4,165.387,144.915,"(['FUC(7_C_)', 'NAG(1_C_)'], [27.61, 22.49])","(['7.C', '1.C'], ['1C4', '4C1'])"
257,3pa2.pdb,LFucpa1-2DGalpb1-4[LFucpa1-3]DGlcpNAcb1-ROH,FUC(3_C_)-GAL(2_C_)-[FUC(4_C_)]-NAG(1_C_),C FUC 4 C2 C1 NAG 1 O3 C3,C FUC 4 C1 NAG 1 O3 C3 C4,171.544,145.588,"(['FUC(4_C_)', 'NAG(1_C_)'], [17.72, 23.28])","(['4.C', '1.C'], ['1C4', '4C1'])"
265,6d64.pdb,DManpa1-3[DManpa1-6]DManpb1-4DGlcpNAcb1-4[LFucpa1-6][LFucpa1-3]DGlcpNAcb1-ASN,FUC(7_C_)-[MAN(5_C_)-[MAN(4_C_)]-BMA(3_C_)-NAG(2_C_)]-[FUC(6_C_)]-NAG(1_C_)-ASN(57_A_),C FUC 6 C2 C1 NAG 1 O3 C3,C FUC 6 C1 NAG 1 O3 C3 C4,158.703,140.383,"(['FUC(6_C_)', 'NAG(1_C_)'], [29.14, 16.84])","(['6.C', '1.C'], ['1C4', '4C1'])"
293,1clz.pdb,LFucpa1-2DGalpb1-4[LFucpa1-3]DGlcpNAcb1-C10O3,FUC(3_A_)-GAL(2_A_)-[FUC(4_A_)]-NAG(1_A_),A FUC 4 C2 C1 NAG 1 O3 C3,A FUC 4 C1 NAG 1 O3 C3 C4,159.405,131.921,"(['FUC(4_A_)', 'NAG(1_A_)'], [9.11, 11.58])","(['4.A', '1.A'], ['1C4', '4C1'])"
300,6a5d.pdb,LFucpa1-3[LFucpa1-6]DGlcpNAcb1-ASN,FUC(3_C_)-[FUC(2_C_)]-NAG(1_C_)-ASN(57_A_),C FUC 2 C2 C1 NAG 1 O3 C3,C FUC 2 C1 NAG 1 O3 C3 C4,150.87,120.415,"(['FUC(2_C_)', 'NAG(1_C_)'], [19.05, 15.93])","(['2.C', '1.C'], ['1C4', '4C1'])"
301,6a5d.pdb,LFucpa1-3[LFucpa1-6]DGlcpNAcb1-ASN,FUC(3_D_)-[FUC(2_D_)]-NAG(1_D_)-ASN(57_B_),D FUC 2 C2 C1 NAG 1 O3 C3,D FUC 2 C1 NAG 1 O3 C3 C4,150.818,120.427,"(['FUC(2_D_)', 'NAG(1_D_)'], [19.05, 15.93])","(['2.D', '1.D'], ['1C4', '4C1'])"
306,5o7w.pdb,LFucpa1-3DGlcpNAcb1-ROH,FUC(2_C_)-NAG(1_C_),C FUC 2 C2 C1 NAG 1 O3 C3,C FUC 2 C1 NAG 1 O3 C3 C4,141.848,290.825,"(['FUC(2_C_)', 'NAG(1_C_)'], [8.27, 17.33])","(['2.C', '1.C'], ['1C4', '4C1'])"
307,5o7w.pdb,LFucpa1-3[DGalpb1-4]DGlcpNAcb1-3DGalpa1-ROH,GAL(4_D_)-[FUC(3_D_)]-NAG(2_D_)-GLA(1_D_),D FUC 3 C2 C1 NAG 2 O3 C3,D FUC 3 C1 NAG 2 O3 C3 C4,145.482,123.237,"(['FUC(3_D_)', 'NAG(2_D_)'], [2.22, 6.18])","(['3.D', '2.D'], ['1C4', '4C1'])"
322,6any.pdb,DManpb1-4DGlcpNAcb1-4[LFucpa1-3]DGlcpNAcb1-ASN,BMA(3_C_)-NAG(2_C_)-[FUC(4_C_)]-NAG(1_C_)-ASN(138_A_),C FUC 4 C2 C1 NAG 1 O3 C3,C FUC 4 C1 NAG 1 O3 C3 C4,170.981,136.439,"(['FUC(4_C_)', 'NAG(1_C_)'], [30.0, 30.0])","(['4.C', '1.C'], ['1C4', '4C1'])"
353,3zw1.pdb,LFucpa1-3DGlcpNAcb1-ROH,FUC(2_F_)-NAG(1_F_),F FUC 2 C2 C1 NAG 1 O3 C3,F FUC 2 C1 NAG 1 O3 C3 C4,143.083,288.4421,"(['FUC(2_F_)', 'NAG(1_F_)'], [14.49, 26.88])","(['2.F', '1.F'], ['1C4', '4C1'])"
373,1w9b.pdb,DXylpb1-2[DManpa1-3][DManpa1-6]DManpb1-4DGlcpNAcb1-4[LFucpa1-3]DGlcpNAcb1-ASN,MAN(6_C_)-[MAN(5_C_)]-[XYP(4_C_)]-BMA(3_C_)-NAG(2_C_)-[FUC(7_C_)]-NAG(1_C_)-ASN(292_M_),C FUC 7 C2 C1 NAG 1 O3 C3,C FUC 7 C1 NAG 1 O3 C3 C4,165.289,142.003,"(['FUC(7_C_)', 'NAG(1_C_)'], [27.84, 22.72])","(['7.C', '1.C'], ['1C4', '4C1'])"
375,3ugg.pdb,DManpb1-4DGlcpNAcb1-4[LFucpa1-3]DGlcpNAcb1-ASN,BMA(3_I_)-NAG(2_I_)-[FUC(4_I_)]-NAG(1_I_)-ASN(178_B_),I FUC 4 C2 C1 NAG 1 O3 C3,I FUC 4 C1 NAG 1 O3 C3 C4,154.556,130.934,"(['FUC(4_I_)', 'NAG(1_I_)'], [29.89, 28.04])","(['4.I', '1.I'], ['1C4', '4C1'])"
379,3ugg.pdb,DManpb1-4DGlcpNAcb1-4[LFucpa1-3]DGlcpNAcb1-ASN,BMA(3_D_)-NAG(2_D_)-[FUC(4_D_)]-NAG(1_D_)-ASN(178_A_),D FUC 4 C2 C1 NAG 1 O3 C3,D FUC 4 C1 NAG 1 O3 C3 C4,163.063,130.206,"(['FUC(4_D_)', 'NAG(1_D_)'], [26.17, 23.55])","(['4.D', '1.D'], ['1C4', '4C1'])"
409,2hox.pdb,DManpb1-4DGlcpNAcb1-4[LFucpa1-3]DGlcpNAcb1-ASN,BMA(3_G_)-NAG(2_G_)-[FUC(4_G_)]-NAG(1_G_)-ASN(146_C_),G FUC 4 C2 C1 NAG 1 O3 C3,G FUC 4 C1 NAG 1 O3 C3 C4,159.933,139.73,"(['FUC(4_G_)', 'NAG(1_G_)'], [29.45, 28.61])","(['4.G', '1.G'], ['1C4', '4C1'])"
414,5wl1.pdb,DManpa1-3[DManpa1-6]DManpb1-4DGlcpNAcb1-4[LFucpa1-6][LFucpa1-3]DGlcpNAcb1-ASN,FUC(7_E_)-[MAN(5_E_)-[MAN(4_E_)]-BMA(3_E_)-NAG(2_E_)]-[FUC(6_E_)]-NAG(1_E_)-ASN(57_A_),E FUC 6 C2 C1 NAG 1 O3 C3,E FUC 6 C1 NAG 1 O3 C3 C4,163.211,139.845,"(['FUC(6_E_)', 'NAG(1_E_)'], [20.65, 12.99])","(['6.E', '1.E'], ['1C4', '4C1'])"
420,5wke.pdb,DManpa1-3[DManpa1-6]DManpb1-4DGlcpNAcb1-4[LFucpa1-6][LFucpa1-3]DGlcpNAcb1-ASN,FUC(7_D_)-[MAN(5_D_)-[MAN(4_D_)]-BMA(3_D_)-NAG(2_D_)]-[FUC(6_D_)]-NAG(1_D_)-ASN(57_A_),D FUC 6 C2 C1 NAG 1 O3 C3,D FUC 6 C1 NAG 1 O3 C3 C4,162.747,139.407,"(['FUC(6_D_)', 'NAG(1_D_)'], [23.23, 15.23])","(['6.D', '1.D'], ['1C4', '4C1'])"
431,1cly.pdb,LFucpa1-2DGalpb1-4[LFucpa1-3]DGlcpNAcb1-C10O3,FUC(3_A_)-GAL(2_A_)-[FUC(4_A_)]-NAG(1_A_),A FUC 4 C2 C1 NAG 1 O3 C3,A FUC 4 C1 NAG 1 O3 C3 C4,162.611,136.078,"(['FUC(4_A_)', 'NAG(1_A_)'], [29.8, 26.46])","(['4.A', '1.A'], ['1C4', '4C1'])"
445,6pdl.pdb,DManpa1-3[DManpa1-6]DManpb1-4DGlcpNAcb1-4[LFucpa1-6][LFucpa1-3]DGlcpNAcb1-ASN,FUC(7_N_)-[MAN(5_N_)-[BMA(4_N_)]-MAN(3_N_)-NAG(2_N_)]-[FUC(6_N_)]-NAG(1_N_)-ASN(529_C_),N FUC 6 C2 C1 NAG 1 O3 C3,N FUC 6 C1 NAG 1 O3 C3 C4,165.959,133.726,"(['FUC(6_N_)', 'NAG(1_N_)'], [29.23, 22.11])","(['6.N', '1.N'], ['1C4', '4C1'])"
466,1sl5.pdb,LFucpa1-3[DGalpb1-4]DGlcpNAcb1-3DGalpb1-ROH,GAL(4_B_)-[FUC(3_B_)]-NAG(2_B_)-GAL(1_B_),B FUC 3 C2 C1 NAG 2 O3 C3,B FUC 3 C1 NAG 2 O3 C3 C4,182.466,147.55,"(['FUC(3_B_)', 'NAG(2_B_)'], [12.94, 19.62])","(['3.B', '2.B'], ['1C4', '4C1'])"
469,5a70.pdb,LFucpa1-3[DGalpb1-4]DGlcpNAcb1-3DGalpb1-ROH,GAL(4_H_)-[FUC(3_H_)]-NAG(2_H_)-GAL(1_H_),H FUC 3 C2 C1 NAG 2 O3 C3,H FUC 3 C1 NAG 2 O3 C3 C4,169.933,138.352,"(['FUC(3_H_)', 'NAG(2_H_)'], [12.02, 18.46])","(['3.H', '2.H'], ['1C4', '4C1'])"
470,5a70.pdb,LFucpa1-3[DGalpb1-4]DGlcpNAcb1-3DGalpb1-ROH,GAL(4_G_)-[FUC(3_G_)]-NAG(2_G_)-GAL(1_G_),G FUC 3 C2 C1 NAG 2 O3 C3,G FUC 3 C1 NAG 2 O3 C3 C4,168.368,139.159,"(['FUC(3_G_)', 'NAG(2_G_)'], [10.36, 14.89])","(['3.G', '2.G'], ['1C4', '4C1'])"
471,5a70.pdb,LFucpa1-3[DGalpb1-4]DGlcpNAcb1-3DGalpb1-ROH,GAL(4_F_)-[FUC(3_F_)]-NAG(2_F_)-GAL(1_F_),F FUC 3 C2 C1 NAG 2 O3 C3,F FUC 3 C1 NAG 2 O3 C3 C4,166.829,140.693,"(['FUC(3_F_)', 'NAG(2_F_)'], [17.81, 21.97])","(['3.F', '2.F'], ['1C4', '4C1'])"
472,5a70.pdb,LFucpa1-3[DGalpb1-4]DGlcpNAcb1-3DGalpb1-ROH,GAL(4_E_)-[FUC(3_E_)]-NAG(2_E_)-GAL(1_E_),E FUC 3 C2 C1 NAG 2 O3 C3,E FUC 3 C1 NAG 2 O3 C3 C4,168.082,136.94,"(['FUC(3_E_)', 'NAG(2_E_)'], [12.61, 16.1])","(['3.E', '2.E'], ['1C4', '4C1'])"
480,5aog.pdb,DXylpb1-2[DManpa1-3]DManpb1-4DGlcpNAcb1-4[LFucpa1-3]DGlcpNAcb1-ASN,MAN(5_C_)-[XYP(4_C_)]-BMA(3_C_)-NAG(2_C_)-[FUC(6_C_)]-NAG(1_C_)-ASN(234_A_),C FUC 6 C2 C1 NAG 1 O3 C3,C FUC 6 C1 NAG 1 O3 C3 C4,179.849,147.197,"(['FUC(6_C_)', 'NAG(1_C_)'], [29.66, 26.8])","(['6.C', '1.C'], ['1C4', '4C1'])"
493,5wkg.pdb,DManpa1-3[DManpa1-6]DManpb1-4DGlcpNAcb1-4[LFucpa1-6][LFucpa1-3]DGlcpNAcb1-ASN,FUC(7_C_)-[MAN(5_C_)-[MAN(4_C_)]-BMA(3_C_)-NAG(2_C_)]-[FUC(6_C_)]-NAG(1_C_)-ASN(57_A_),C FUC 6 C2 C1 NAG 1 O3 C3,C FUC 6 C1 NAG 1 O3 C3 C4,163.565,135.524,"(['FUC(6_C_)', 'NAG(1_C_)'], [21.79, 14.68])","(['6.C', '1.C'], ['1C4', '4C1'])"
507,4p25.pdb,LFucpa1-2DGalpb1-4[LFucpa1-3]DGlcpNAcb1-ROH,FUC(3_E_)-GAL(2_E_)-[FUC(4_E_)]-NAG(1_E_),E FUC 4 C2 C1 NAG 1 O3 C3,E FUC 4 C1 NAG 1 O3 C3 C4,163.843,139.176,"(['FUC(4_E_)', 'NAG(1_E_)'], [27.99, 21.39])","(['4.E', '1.E'], ['1C4', '4C1'])"
509,4p25.pdb,LFucpa1-2DGalpb1-4[LFucpa1-3]DGlcpNAcb1-ROH,FUC(3_G_)-GAL(2_G_)-[FUC(4_G_)]-NAG(1_G_),G FUC 4 C2 C1 NAG 1 O3 C3,G FUC 4 C1 NAG 1 O3 C3 C4,164.736,141.845,"(['FUC(4_G_)', 'NAG(1_G_)'], [21.57, 19.21])","(['4.G', '1.G'], ['1C4', '4C1'])"
510,4p25.pdb,LFucpa1-2DGalpb1-4[LFucpa1-3]DGlcpNAcb1-ROH,FUC(3_H_)-GAL(2_H_)-[FUC(4_H_)]-NAG(1_H_),H FUC 4 C2 C1 NAG 1 O3 C3,H FUC 4 C1 NAG 1 O3 C3 C4,164.317,142.203,"(['FUC(4_H_)', 'NAG(1_H_)'], [29.77, 27.26])","(['4.H', '1.H'], ['1C4', '4C1'])"
551,5l2j.pdb,DManpa1-3[DManpa1-6]DManpb1-4DGlcpNAcb1-4[LFucpa1-6][LFucpa1-3]DGlcpNAcb1-ASN,FUC(7_C_)-[MAN(5_C_)-[MAN(4_C_)]-BMA(3_C_)-NAG(2_C_)]-[FUC(6_C_)]-NAG(1_C_)-ASN(57_A_),C FUC 6 C2 C1 NAG 1 O3 C3,C FUC 6 C1 NAG 1 O3 C3 C4,164.259,140.577,"(['FUC(6_C_)', 'NAG(1_C_)'], [28.35, 15.89])","(['6.C', '1.C'], ['1C4', '4C1'])"
