,pdb,glycam name,glycan,phi site,psi site,phi,psi,B factor(Avg),BFMP ring shape
25,3ef2.pdb,LFucpa1-2[DGalpa1-3]DGalpb1-ROH,GLA(3_E_)-[FUC(2_E_)]-GAL(1_E_),E GLA 3 C2 C1 GAL 1 O3 C3,E GLA 3 C1 GAL 1 O3 C3 C4,174.572,64.126,"(['GLA(3_E_)', 'GAL(1_E_)'], [6.02, 7.03])","(['3.E', '1.E'], ['4C1', '4C1'])"
26,3ef2.pdb,LFucpa1-2[DGalpa1-3]DGalpb1-ROH,GLA(3_F_)-[FUC(2_F_)]-GAL(1_F_),F GLA 3 C2 C1 GAL 1 O3 C3,F GLA 3 C1 GAL 1 O3 C3 C4,165.525,66.7641,"(['GLA(3_F_)', 'GAL(1_F_)'], [13.5, 12.07])","(['3.F', '1.F'], ['4C1', '4C1'])"
28,5d62.pdb,LFucpa1-2[DGalpa1-3]DGalpb1-ROH,GLA(3_B_)-[FUC(2_B_)]-GAL(1_B_),B GLA 3 C2 C1 GAL 1 O3 C3,B GLA 3 C1 GAL 1 O3 C3 C4,175.334,59.8027,"(['GLA(3_B_)', 'GAL(1_B_)'], [11.69, 12.55])","(['3.B', '1.B'], ['4C1', '4C1'])"
30,2g7c.pdb,DGalpa1-3DGalpb1-4DGlcpNAcb1-ROH,GLA(3_F_)-GAL(2_F_)-NAG(1_F_),F GLA 3 C2 C1 GAL 2 O3 C3,F GLA 3 C1 GAL 2 O3 C3 C4,190.561,95.2879,"(['GLA(3_F_)', 'GAL(2_F_)'], [25.89, 19.23])","(['3.F', '2.F'], ['4C1', '4C1'])"
31,2g7c.pdb,DGalpa1-3DGalpb1-4DGlcpNAcb1-ROH,GLA(3_D_)-GAL(2_D_)-NAG(1_D_),D GLA 3 C2 C1 GAL 2 O3 C3,D GLA 3 C1 GAL 2 O3 C3 C4,186.933,65.578,"(['GLA(3_D_)', 'GAL(2_D_)'], [15.04, 11.02])","(['3.D', '2.D'], ['4C1', '4C1'])"
34,2wmj.pdb,LFucpa1-2[DGalpa1-3]DGalpb1-ROH,GLA(3_D_)-[FUC(2_D_)]-GAL(1_D_),D GLA 3 C2 C1 GAL 1 O3 C3,D GLA 3 C1 GAL 1 O3 C3 C4,189.874,61.8277,"(['GLA(3_D_)', 'GAL(1_D_)'], [5.11, 10.18])","(['3.D', '1.D'], ['4C1', '4C1'])"
39,7p8h.pdb,LFucpa1-2[DGalpa1-3]DGalpb1-3DGlcpNAcb1-ROH,GLA(4_E_)-[FUC(3_E_)]-GAL(2_E_)-NAG(1_E_),E GLA 4 C2 C1 GAL 2 O3 C3,E GLA 4 C1 GAL 2 O3 C3 C4,180.239,67.4567,"(['GLA(4_E_)', 'GAL(2_E_)'], [17.64, 12.15])","(['4.E', '2.E'], ['4C1', '4C1'])"
40,7p8h.pdb,LFucpa1-2[DGalpa1-3]DGalpb1-3DGlcpNAcb1-ROH,GLA(4_F_)-[FUC(3_F_)]-GAL(2_F_)-NAG(1_F_),F GLA 4 C2 C1 GAL 2 O3 C3,F GLA 4 C1 GAL 2 O3 C3 C4,180.959,66.6008,"(['GLA(4_F_)', 'GAL(2_F_)'], [15.25, 10.28])","(['4.F', '2.F'], ['4C1', '4C1'])"
41,5d63.pdb,LFucpa1-2[DGalpa1-3]DGalpb1-ROH,GLA(3_B_)-[FUC(2_B_)]-GAL(1_B_),B GLA 3 C2 C1 GAL 1 O3 C3,B GLA 3 C1 GAL 1 O3 C3 C4,176.811,58.2065,"(['GLA(3_B_)', 'GAL(1_B_)'], [8.77, 9.25])","(['3.B', '1.B'], ['4C1', '4C1'])"
43,2vxj.pdb,DGalpa1-3DGalpb1-4DGlcpb1-ROH,GLA(3_h_)-GAL(2_h_)-BGC(1_h_),h GLA 3 C2 C1 GAL 2 O3 C3,h GLA 3 C1 GAL 2 O3 C3 C4,219.811,130.675,"(['GLA(3_h_)', 'GAL(2_h_)'], [12.96, 22.9])","(['3.h', '2.h'], ['4C1', '4C1'])"
44,2vxj.pdb,DGalpa1-3DGalpb1-4DGlcpb1-ROH,GLA(3_g_)-GAL(2_g_)-BGC(1_g_),g GLA 3 C2 C1 GAL 2 O3 C3,g GLA 3 C1 GAL 2 O3 C3 C4,221.391,111.481,"(['GLA(3_g_)', 'GAL(2_g_)'], [11.39, 18.37])","(['3.g', '2.g'], ['4C1', '4C1'])"
45,2vxj.pdb,DGalpa1-3DGalpb1-4DGlcpb1-ROH,GLA(2_l_)-GAL(1_l_)-BGC(204_N_),l GLA 2 C2 C1 GAL 1 O3 C3,l GLA 2 C1 GAL 1 O3 C3 C4,219.84,128.347,"(['GLA(2_l_)', 'GAL(1_l_)'], [17.34, 24.57])","(['2.l', '1.l'], ['4C1', '4C1'])"
46,2vxj.pdb,DGalpa1-3DGalpb1-4DGlcpb1-ROH,GLA(3_j_)-GAL(2_j_)-BGC(1_j_),j GLA 3 C2 C1 GAL 2 O3 C3,j GLA 3 C1 GAL 2 O3 C3 C4,217.631,124.702,"(['GLA(3_j_)', 'GAL(2_j_)'], [16.07, 26.23])","(['3.j', '2.j'], ['4C1', '4C1'])"
47,2vxj.pdb,DGalpa1-3DGalpb1-4DGlcpb1-ROH,GLA(3_Z_)-GAL(2_Z_)-BGC(1_Z_),Z GLA 3 C2 C1 GAL 2 O3 C3,Z GLA 3 C1 GAL 2 O3 C3 C4,216.58,126.795,"(['GLA(3_Z_)', 'GAL(2_Z_)'], [18.39, 25.51])","(['3.Z', '2.Z'], ['4C1', '4C1'])"
48,2vxj.pdb,DGalpa1-3DGalpb1-4DGlcpb1-ROH,GLA(3_t_)-GAL(2_t_)-BGC(1_t_),t GLA 3 C2 C1 GAL 2 O3 C3,t GLA 3 C1 GAL 2 O3 C3 C4,218.629,128.289,"(['GLA(3_t_)', 'GAL(2_t_)'], [16.42, 23.6])","(['3.t', '2.t'], ['4C1', '4C1'])"
49,2vxj.pdb,DGalpa1-3DGalpb1-4DGlcpa1-ROH,GLA(3_c_)-GAL(2_c_)-GLC(1_c_),c GLA 3 C2 C1 GAL 2 O3 C3,c GLA 3 C1 GAL 2 O3 C3 C4,226.439,112.591,"(['GLA(3_c_)', 'GAL(2_c_)'], [15.12, 18.1])","(['3.c', '2.c'], ['4C1', '4C1'])"
50,2vxj.pdb,DGalpa1-3DGalpb1-4DGlcpb1-ROH,GLA(3_k_)-GAL(2_k_)-BGC(1_k_),k GLA 3 C2 C1 GAL 2 O3 C3,k GLA 3 C1 GAL 2 O3 C3 C4,223.44,122.02,"(['GLA(3_k_)', 'GAL(2_k_)'], [14.73, 15.08])","(['3.k', '2.k'], ['4C1', '4C1'])"
51,2vxj.pdb,DGalpa1-3DGalpb1-4DGlcpb1-ROH,GLA(3_e_)-GAL(2_e_)-BGC(1_e_),e GLA 3 C2 C1 GAL 2 O3 C3,e GLA 3 C1 GAL 2 O3 C3 C4,219.064,109.936,"(['GLA(3_e_)', 'GAL(2_e_)'], [14.84, 25.12])","(['3.e', '2.e'], ['4C1', '4C1'])"
52,2vxj.pdb,DGalpa1-3DGalpb1-4DGlcpb1-ROH,GLA(3_v_)-GAL(2_v_)-BGC(1_v_),v GLA 3 C2 C1 GAL 2 O3 C3,v GLA 3 C1 GAL 2 O3 C3 C4,222.802,124.045,"(['GLA(3_v_)', 'GAL(2_v_)'], [13.71, 23.39])","(['3.v', '2.v'], ['4C1', '4C1'])"
53,2vxj.pdb,DGalpa1-3DGalpb1-4DGlcpb1-ROH,GLA(3_p_)-GAL(2_p_)-BGC(1_p_),p GLA 3 C2 C1 GAL 2 O3 C3,p GLA 3 C1 GAL 2 O3 C3 C4,220.191,123.077,"(['GLA(3_p_)', 'GAL(2_p_)'], [17.72, 22.04])","(['3.p', '2.p'], ['4C1', '4C1'])"
55,2vxj.pdb,DGalpa1-3DGalpb1-4DGlcpb1-ROH,GLA(3_o_)-GAL(2_o_)-BGC(1_o_),o GLA 3 C2 C1 GAL 2 O3 C3,o GLA 3 C1 GAL 2 O3 C3 C4,217.524,116.059,"(['GLA(3_o_)', 'GAL(2_o_)'], [11.85, 17.32])","(['3.o', '2.o'], ['4C1', '4C1'])"
56,2vxj.pdb,DGalpa1-3DGalpb1-4DGlcpb1-ROH,GLA(3_u_)-GAL(2_u_)-BGC(1_u_),u GLA 3 C2 C1 GAL 2 O3 C3,u GLA 3 C1 GAL 2 O3 C3 C4,213.159,117.662,"(['GLA(3_u_)', 'GAL(2_u_)'], [17.06, 23.5])","(['3.u', '2.u'], ['4C1', '4C1'])"
57,2vxj.pdb,DGalpa1-3DGalpb1-4DGlcpb1-ROH,GLA(3_s_)-GAL(2_s_)-BGC(1_s_),s GLA 3 C2 C1 GAL 2 O3 C3,s GLA 3 C1 GAL 2 O3 C3 C4,220.814,116.722,"(['GLA(3_s_)', 'GAL(2_s_)'], [11.62, 18.07])","(['3.s', '2.s'], ['4C1', '4C1'])"
58,2vxj.pdb,DGalpa1-3DGalpb1-4DGlcpb1-ROH,GLA(3_f_)-GAL(2_f_)-BGC(1_f_),f GLA 3 C2 C1 GAL 2 O3 C3,f GLA 3 C1 GAL 2 O3 C3 C4,218.104,121.201,"(['GLA(3_f_)', 'GAL(2_f_)'], [14.03, 21.14])","(['3.f', '2.f'], ['4C1', '4C1'])"
59,2vxj.pdb,DGalpa1-3DGalpb1-4DGlcpb1-ROH,GLA(3_d_)-GAL(2_d_)-BGC(1_d_),d GLA 3 C2 C1 GAL 2 O3 C3,d GLA 3 C1 GAL 2 O3 C3 C4,219.865,128.77,"(['GLA(3_d_)', 'GAL(2_d_)'], [15.43, 22.95])","(['3.d', '2.d'], ['4C1', '4C1'])"
60,2vxj.pdb,DGalpa1-3DGalpb1-4DGlcpb1-ROH,GLA(3_b_)-GAL(2_b_)-BGC(1_b_),b GLA 3 C2 C1 GAL 2 O3 C3,b GLA 3 C1 GAL 2 O3 C3 C4,218.903,119.794,"(['GLA(3_b_)', 'GAL(2_b_)'], [16.2, 23.73])","(['3.b', '2.b'], ['4C1', '4C1'])"
61,2vxj.pdb,DGalpa1-3DGalpb1-4DGlcpb1-ROH,GLA(3_n_)-GAL(2_n_)-BGC(1_n_),n GLA 3 C2 C1 GAL 2 O3 C3,n GLA 3 C1 GAL 2 O3 C3 C4,217.538,129.216,"(['GLA(3_n_)', 'GAL(2_n_)'], [12.48, 21.18])","(['3.n', '2.n'], ['4C1', '4C1'])"
63,2vxj.pdb,DGalpa1-3DGalpb1-4DGlcpb1-ROH,GLA(3_m_)-GAL(2_m_)-BGC(1_m_),m GLA 3 C2 C1 GAL 2 O3 C3,m GLA 3 C1 GAL 2 O3 C3 C4,220.413,118.024,"(['GLA(3_m_)', 'GAL(2_m_)'], [22.72, 27.44])","(['3.m', '2.m'], ['4C1', '4C1'])"
64,2vxj.pdb,DGalpa1-3DGalpb1-4DGlcpb1-ROH,GLA(3_i_)-GAL(2_i_)-BGC(1_i_),i GLA 3 C2 C1 GAL 2 O3 C3,i GLA 3 C1 GAL 2 O3 C3 C4,222.802,125.286,"(['GLA(3_i_)', 'GAL(2_i_)'], [15.02, 20.55])","(['3.i', '2.i'], ['4C1', '4C1'])"
65,2vxj.pdb,DGalpa1-3DGalpb1-4DGlcpb1-ROH,GLA(3_q_)-GAL(2_q_)-BGC(1_q_),q GLA 3 C2 C1 GAL 2 O3 C3,q GLA 3 C1 GAL 2 O3 C3 C4,224.481,131.737,"(['GLA(3_q_)', 'GAL(2_q_)'], [17.34, 18.08])","(['3.q', '2.q'], ['4C1', '4C1'])"
66,2vxj.pdb,DGalpa1-3DGalpb1-4DGlcpb1-ROH,GLA(3_Y_)-GAL(2_Y_)-BGC(1_Y_),Y GLA 3 C2 C1 GAL 2 O3 C3,Y GLA 3 C1 GAL 2 O3 C3 C4,219.907,118.569,"(['GLA(3_Y_)', 'GAL(2_Y_)'], [10.18, 17.13])","(['3.Y', '2.Y'], ['4C1', '4C1'])"
74,3zwe.pdb,LFucpa1-2[DGalpa1-3]DGalpb1-4DGlcpb1-ROH,GLA(4_F_)-[FUC(3_F_)]-GAL(2_F_)-BGC(1_F_),F GLA 4 C2 C1 GAL 2 O3 C3,F GLA 4 C1 GAL 2 O3 C3 C4,258.76300000000003,132.688,"(['GLA(4_F_)', 'GAL(2_F_)'], [26.72, 20.7])","(['4.F', '2.F'], ['4C1', '4C1'])"
