,pdb,glycam name,glycan,phi site,psi site,phi,psi,B factor(Avg),BFMP ring shape
97,4zze.pdb,DGlcpa1-6DGlcpa1-4DGlcpb1-ROH,GLC(3_C_)-GLC(2_C_)-GLC(1_C_),C GLC 3 C2 C1 GLC 2 O6 C6,C GLC 3 C1 GLC 2 O6 C6 C5,198.768,204.02,"(['GLC(3_C_)', 'GLC(2_C_)'], [9.55, 11.87])","(['3.C', '2.C'], ['4C1', '4C1'])"
98,5x3k.pdb,DGlcpa1-6DGlcpa1-ROH,GLC(2_D_)-GLC(1_D_),D GLC 2 C2 C1 GLC 1 O6 C6,D GLC 2 C1 GLC 1 O6 C6 C5,187.861,143.585,"(['GLC(2_D_)', 'GLC(1_D_)'], [29.19, 24.73])","(['2.D', '1.D'], ['4C1', '4C1'])"
121,2zid.pdb,DGlcpa1-6DGlcpa1-6DGlcpa1-ROH,GLC(3_B_)-GLC(2_B_)-GLC(1_B_),B GLC 3 C2 C1 GLC 2 O6 C6,B GLC 3 C1 GLC 2 O6 C6 C5,164.581,202.158,"(['GLC(3_B_)', 'GLC(2_B_)'], [9.87, 17.99])","(['3.B', '2.B'], ['4C1', '4C1'])"
126,5i0e.pdb,DGlcpa1-6DGlcpa1-ROH,GLC(2_A_)-GLC(1_A_),A GLC 2 C2 C1 GLC 1 O6 C6,A GLC 2 C1 GLC 1 O6 C6 C5,187.905,130.639,"(['GLC(2_A_)', 'GLC(1_A_)'], [28.02, 29.26])","(['2.A', '1.A'], ['4C1', '4C1'])"
129,1j0k.pdb,DGlcpa1-4DGlcpa1-6DGlcpa1-ROH,GLC(3_C_)-GLC(2_C_)-GLC(1_C_),C GLC 2 C2 C1 GLC 1 O6 C6,C GLC 2 C1 GLC 1 O6 C6 C5,195.696,176.894,"(['GLC(2_C_)', 'GLC(1_C_)'], [7.56, 20.57])","(['2.C', '1.C'], ['4C1', '4C1'])"
130,1j0k.pdb,DGlcpa1-4DGlcpa1-6DGlcpa1-ROH,GLC(3_D_)-GLC(2_D_)-GLC(1_D_),D GLC 2 C2 C1 GLC 1 O6 C6,D GLC 2 C1 GLC 1 O6 C6 C5,202.129,189.978,"(['GLC(2_D_)', 'GLC(1_D_)'], [14.36, 19.14])","(['2.D', '1.D'], ['4C1', '4C1'])"
141,6jr8.pdb,DGlcpa1-6DGlcpa1-6DGlcpa1-ROH,GLC(3_H_)-GLC(2_H_)-GLC(1_H_),H GLC 3 C2 C1 GLC 2 O6 C6,H GLC 3 C1 GLC 2 O6 C6 C5,179.904,172.71,"(['GLC(3_H_)', 'GLC(2_H_)'], [20.04, 15.76])","(['3.H', '2.H'], ['4C1', '4C1'])"
142,6jr8.pdb,DGlcpa1-6DGlcpa1-6DGlcpa1-ROH,GLC(3_H_)-GLC(2_H_)-GLC(1_H_),H GLC 2 C2 C1 GLC 1 O6 C6,H GLC 2 C1 GLC 1 O6 C6 C5,191.551,146.925,"(['GLC(2_H_)', 'GLC(1_H_)'], [15.76, 11.83])","(['2.H', '1.H'], ['4C1', '4C1'])"
143,6jr8.pdb,DGlcpa1-6DGlcpa1-6DGlcpa1-ROH,GLC(3_F_)-GLC(2_F_)-GLC(1_F_),F GLC 3 C2 C1 GLC 2 O6 C6,F GLC 3 C1 GLC 2 O6 C6 C5,179.576,180.387,"(['GLC(3_F_)', 'GLC(2_F_)'], [19.63, 15.03])","(['3.F', '2.F'], ['4C1', '4C1'])"
144,6jr8.pdb,DGlcpa1-6DGlcpa1-6DGlcpa1-ROH,GLC(3_F_)-GLC(2_F_)-GLC(1_F_),F GLC 2 C2 C1 GLC 1 O6 C6,F GLC 2 C1 GLC 1 O6 C6 C5,188.849,145.809,"(['GLC(2_F_)', 'GLC(1_F_)'], [15.03, 15.37])","(['2.F', '1.F'], ['4C1', '4C1'])"
145,6jr8.pdb,DGlcpa1-6DGlcpa1-6DGlcpa1-ROH,GLC(3_E_)-GLC(2_E_)-GLC(1_E_),E GLC 3 C2 C1 GLC 2 O6 C6,E GLC 3 C1 GLC 2 O6 C6 C5,183.764,172.942,"(['GLC(3_E_)', 'GLC(2_E_)'], [20.94, 15.28])","(['3.E', '2.E'], ['4C1', '4C1'])"
146,6jr8.pdb,DGlcpa1-6DGlcpa1-6DGlcpa1-ROH,GLC(3_E_)-GLC(2_E_)-GLC(1_E_),E GLC 2 C2 C1 GLC 1 O6 C6,E GLC 2 C1 GLC 1 O6 C6 C5,191.881,145.391,"(['GLC(2_E_)', 'GLC(1_E_)'], [15.28, 12.37])","(['2.E', '1.E'], ['4C1', '4C1'])"
147,6jr8.pdb,DGlcpa1-6DGlcpa1-6DGlcpa1-ROH,GLC(3_G_)-GLC(2_G_)-GLC(1_G_),G GLC 3 C2 C1 GLC 2 O6 C6,G GLC 3 C1 GLC 2 O6 C6 C5,184.758,172.597,"(['GLC(3_G_)', 'GLC(2_G_)'], [25.0, 17.59])","(['3.G', '2.G'], ['4C1', '4C1'])"
148,6jr8.pdb,DGlcpa1-6DGlcpa1-6DGlcpa1-ROH,GLC(3_G_)-GLC(2_G_)-GLC(1_G_),G GLC 2 C2 C1 GLC 1 O6 C6,G GLC 2 C1 GLC 1 O6 C6 C5,190.891,144.275,"(['GLC(2_G_)', 'GLC(1_G_)'], [17.59, 13.82])","(['2.G', '1.G'], ['4C1', '4C1'])"
149,8iub.pdb,DGlcpa1-6DGlcpa1-6DGlcpa1-ROH,GLC(3_B_)-GLC(2_B_)-GLC(1_B_),B GLC 3 C2 C1 GLC 2 O6 C6,B GLC 3 C1 GLC 2 O6 C6 C5,184.832,192.579,"(['GLC(3_B_)', 'GLC(2_B_)'], [20.26, 18.59])","(['3.B', '2.B'], ['4C1', '4C1'])"
150,8iub.pdb,DGlcpa1-6DGlcpa1-6DGlcpa1-ROH,GLC(3_B_)-GLC(2_B_)-GLC(1_B_),B GLC 2 C2 C1 GLC 1 O6 C6,B GLC 2 C1 GLC 1 O6 C6 C5,181.085,95.0497,"(['GLC(2_B_)', 'GLC(1_B_)'], [18.59, 16.44])","(['2.B', '1.B'], ['4C1', '4C1'])"
168,2d0g.pdb,DGlcpb1-4DGlcpa1-6DGlcpb1-4DGlcpb1-4DGlcpa1-6DGlcpa1-4DGlcpa1-4DGlcpa1-6DGlcpa1-4DGlcpa1-ROH,BGC(10_B_)-GLC(9_B_)-BGC(8_B_)-BGC(7_B_)-GLC(6_B_)-GLC(5_B_)-GLC(4_B_)-GLC(3_B_)-GLC(2_B_)-GLC(1_B_),B GLC 6 C2 C1 GLC 5 O6 C6,B GLC 6 C1 GLC 5 O6 C6 C5,184.655,182.942,"(['GLC(6_B_)', 'GLC(5_B_)'], [27.62, 23.92])","(['6.B', '5.B'], ['4C1', '4C1'])"
169,2d0g.pdb,DGlcpb1-4DGlcpa1-6DGlcpb1-4DGlcpb1-4DGlcpa1-6DGlcpa1-4DGlcpa1-4DGlcpa1-6DGlcpa1-4DGlcpa1-ROH,BGC(10_B_)-GLC(9_B_)-BGC(8_B_)-BGC(7_B_)-GLC(6_B_)-GLC(5_B_)-GLC(4_B_)-GLC(3_B_)-GLC(2_B_)-GLC(1_B_),B GLC 3 C2 C1 GLC 2 O6 C6,B GLC 3 C1 GLC 2 O6 C6 C5,185.823,177.25,"(['GLC(3_B_)', 'GLC(2_B_)'], [15.19, 18.4])","(['3.B', '2.B'], ['4C1', '4C1'])"
178,5f7u.pdb,DGlcpa1-6DGlcpa1-4DGlcpa1-ROH,GLC(3_F_)-GLC(2_F_)-GLC(1_F_),F GLC 3 C2 C1 GLC 2 O6 C6,F GLC 3 C1 GLC 2 O6 C6 C5,184.148,135.35,"(['GLC(3_F_)', 'GLC(2_F_)'], [26.02, 22.36])","(['3.F', '2.F'], ['4C1', '4C1'])"
179,5f7u.pdb,DGlcpa1-6DGlcpa1-3[DGlcpa1-6]DGlcpa1-ROH,GLC(4_B_)-[GLC(3_B_)-GLC(2_B_)]-GLC(1_B_),B GLC 3 C2 C1 GLC 2 O6 C6,B GLC 3 C1 GLC 2 O6 C6 C5,190.012,172.289,"(['GLC(3_B_)', 'GLC(2_B_)'], [18.0, 24.0])","(['3.B', '2.B'], ['4C1', '4C1'])"
